iter	Passed	Remaining
0	140	69886
1	141	35125
2	142	23539
3	142	17726
4	143	14241
5	144	11914
6	145	10251
7	146	9005
8	147	8038
9	148	7267
10	149	6633
11	150	6107
12	151	5658
13	152	5283
14	153	4953
15	154	4670
16	155	4416
17	156	4189
18	157	3984
19	158	3800
20	159	3632
21	160	3486
22	161	3353
23	162	3224
24	163	3106
25	164	2999
26	165	2901
27	166	2809
28	167	2721
29	168	2639
30	169	2561
31	170	2489
32	171	2421
33	171	2356
34	172	2296
35	173	2239
36	174	2184
37	175	2133
38	176	2084
39	177	2037
40	178	1993
41	179	1952
42	179	1912
43	180	1873
44	181	1836
45	182	1801
46	183	1768
47	184	1735
48	185	1704
49	186	1674
50	186	1645
51	187	1617
52	188	1590
53	189	1565
54	190	1540
55	191	1516
56	192	1493
57	193	1470
58	194	1450
59	194	1429
60	195	1409
61	196	1390
62	197	1371
63	198	1353
64	199	1335
65	200	1318
66	201	1300
67	202	1284
68	202	1267
69	203	1251
70	204	1236
71	205	1222
72	206	1207
73	207	1193
74	208	1179
75	209	1167
76	210	1155
77	211	1142
78	212	1130
79	213	1118
80	213	1106
81	214	1094
82	215	1082
83	216	1071
84	217	1060
85	218	1050
86	219	1039
87	219	1029
88	220	1019
89	221	1009
90	222	999
91	223	989
92	224	981
93	225	972
94	225	963
95	226	954
96	227	945
97	228	937
98	229	928
99	230	920
100	231	912
101	231	904
102	232	897
103	233	889
104	234	881
105	235	874
106	236	866
107	236	859
108	237	853
109	238	846
110	239	839
111	240	833
112	241	826
113	242	819
114	242	813
115	243	807
116	244	801
117	245	794
118	246	788
119	247	782
120	248	776
121	248	771
122	249	765
123	250	759
124	251	754
125	252	748
126	253	743
127	254	738
128	255	733
129	256	729
130	257	725
131	258	720
132	259	715
133	260	710
134	261	706
135	261	701
136	262	696
137	263	692
138	264	688
139	266	684
140	266	679
141	268	675
142	269	672
143	270	669
144	271	665
145	272	661
146	274	658
147	275	654
148	276	651
149	277	647
150	278	644
151	279	640
152	280	636
153	281	632
154	282	628
155	283	626
156	284	622
157	285	618
158	286	615
159	287	611
160	289	608
161	290	606
162	291	602
163	292	599
164	293	595
165	294	593
166	295	589
167	296	586
168	298	584
169	299	580
170	300	577
171	301	574
172	302	571
173	303	568
174	304	565
175	305	562
176	306	559
177	307	556
178	308	553
179	309	550
180	311	548
181	312	545
182	313	543
183	314	540
184	315	537
185	317	535
186	318	532
187	319	529
188	320	527
189	321	525
190	323	523
191	324	520
192	325	518
193	326	515
194	327	512
195	329	510
196	330	508
197	331	505
198	332	502
199	333	500
200	334	497
201	335	495
202	336	492
203	337	490
204	338	487
205	339	484
206	340	482
207	341	479
208	342	477
209	343	474
210	344	471
211	345	469
212	346	466
213	347	464
214	348	461
215	349	459
216	350	456
217	351	454
218	351	451
219	352	449
220	353	446
221	354	444
222	355	442
223	356	439
224	357	437
225	358	434
226	359	432
227	360	429
228	361	427
229	362	425
230	363	423
231	364	420
232	365	418
233	366	416
234	366	413
235	368	411
236	368	409
237	369	407
238	370	405
239	371	402
240	372	400
241	373	398
242	374	396
243	375	393
244	376	391
245	377	389
246	378	387
247	379	385
248	379	382
249	380	380
250	381	378
251	382	376
252	383	374
253	384	372
254	385	370
255	386	368
256	387	366
257	388	364
258	389	362
259	390	360
260	391	358
261	391	355
262	392	353
263	393	351
264	394	349
265	395	347
266	396	345
267	397	343
268	398	341
269	398	339
270	399	337
271	400	336
272	401	334
273	402	332
274	403	330
275	404	328
276	405	326
277	406	324
278	407	322
279	408	320
280	408	318
281	409	316
282	410	314
283	411	313
284	412	311
285	413	309
286	414	307
287	415	305
288	416	303
289	417	301
290	417	300
291	418	298
292	419	296
293	420	294
294	421	292
295	422	291
296	423	289
297	424	287
298	424	285
299	426	284
300	426	282
301	427	280
302	428	278
303	429	276
304	430	275
305	431	273
306	432	271
307	433	270
308	434	268
309	435	266
310	436	265
311	436	263
312	437	261
313	438	259
314	439	258
315	440	256
316	441	254
317	442	253
318	443	251
319	444	249
320	445	248
321	446	246
322	447	245
323	448	243
324	448	241
325	449	240
326	450	238
327	451	236
328	452	235
329	453	233
330	454	232
331	455	230
332	456	228
333	457	227
334	458	225
335	459	224
336	460	222
337	461	221
338	462	219
339	463	218
340	464	216
341	465	215
342	466	213
343	467	211
344	468	210
345	469	208
346	469	207
347	470	205
348	471	204
349	472	202
350	473	201
351	474	199
352	475	198
353	476	196
354	477	195
355	478	193
356	479	192
357	480	190
358	481	189
359	482	187
360	483	186
361	484	184
362	485	183
363	486	181
364	486	180
365	487	178
366	488	177
367	489	175
368	490	174
369	491	172
370	492	171
371	493	169
372	494	168
373	495	166
374	496	165
375	497	163
376	498	162
377	499	161
378	500	159
379	500	158
380	501	156
381	502	155
382	503	153
383	504	152
384	505	151
385	506	149
386	507	148
387	508	146
388	509	145
389	510	143
390	511	142
391	512	141
392	513	139
393	514	138
394	515	136
395	515	135
396	517	134
397	518	132
398	519	131
399	520	130
400	520	128
401	521	127
402	522	125
403	523	124
404	524	123
405	525	121
406	526	120
407	527	118
408	528	117
409	529	116
410	530	114
411	531	113
412	532	112
413	533	110
414	534	109
415	535	108
416	536	106
417	537	105
418	538	104
419	538	102
420	539	101
421	540	99
422	541	98
423	542	97
424	543	95
425	544	94
426	545	93
427	546	91
428	547	90
429	549	89
430	550	88
431	551	86
432	552	85
433	552	84
434	553	82
435	554	81
436	555	80
437	556	78
438	557	77
439	558	76
440	559	74
441	560	73
442	561	72
443	562	70
444	563	69
445	564	68
446	565	67
447	566	65
448	567	64
449	568	63
450	569	61
451	570	60
452	571	59
453	572	58
454	573	56
455	574	55
456	575	54
457	576	52
458	577	51
459	578	50
460	579	49
461	580	47
462	581	46
463	582	45
464	583	43
465	584	42
466	585	41
467	586	40
468	587	38
469	588	37
470	590	36
471	591	35
472	592	33
473	593	32
474	594	31
475	595	30
476	596	28
477	597	27
478	598	26
479	598	24
480	599	23
481	600	22
482	602	21
483	602	19
484	603	18
485	604	17
486	605	16
487	606	14
488	607	13
489	609	12
490	610	11
491	611	9
492	611	8
493	612	7
494	613	6
495	614	4
496	616	3
497	617	2
498	618	1
499	618	0
