usedcarskuid,loc,myear,body,transmission,fuel,km,ip,images,imgcount,threesixty,dvn,oem,model,variant,city,listed_price,discountvalue,utype,cartype,top_features,comfort_features,interior_features,exterior_features,safety_features,color,engine type,no of cylinder,valves per cylinder,valve configuration,turbo charger,super charger,length,width,height,wheel base,front tread,rear tread,kerb weight,gross weight,gear box,drive type,seats,steering type,turning radius,front brake type,rear brake type,top speed,acceleration,tyre type,doors,cargo volume,model_type_new,state,exterior_color,owner_type,fuel suppy system,compression ratio,alloy wheel size,max power delivered,max power at,max torque delivered,max torque at,bore,car_age,km_per_year,log_price,oem_target_enc,model_target_enc,city_target_enc,oem_freq_enc,model_freq_enc,city_freq_enc,brand_age,km_per_year_age,power_weight_ratio,predicted_price,residual,rule_violations,num_violations
2ad4a1be-3136-418a-9006-5a4f5c315932,,2014,muv,manual,diesel,150000.0,0,[{'img': 'https://stimg2.cardekho.com/images/usedcarimages/large/3-2023/3640623/d9a0de06-8728-41e2-9d94-9cf2fa3320e3.jpg'}],3,False,toyota innova 2.5 z diesel 7 seater bs iv,toyota,toyota innova,2.5 z diesel 7 seater bs iv,ramanagara,1100000.0,0,individual,partner,"['power steering', 'power windows front', 'air conditioner', 'heater', 'fog lights front', 'power adjustable exterior rear view mirror', 'anti lock braking system', 'power door locks', 'cd player']","['power steering', 'power windows front', 'power windows rear', 'air quality control', 'low fuel warning light', 'accessory power outlet', 'vanity mirror', 'rear seat headrest', 'multifunction steering wheel', 'rear acvents']","['air conditioner', 'heater', 'adjustable steering', 'tachometer', 'electronic multi tripmeter', 'leather seats', 'leather steering wheel', 'glove compartment', 'digital clock', 'cigarette lighter', 'height adjustable driver seat']","['fog lights front', 'power adjustable exterior rear view mirror', 'rear window wiper', 'rear window defogger', 'alloy wheels', 'integrated antenna', 'rear spoiler', 'outside rear view mirror turn indicators', 'chrome grille', 'chrome garnish']","['anti lock braking system', 'power door locks', 'driver air bag', 'passenger air bag', 'passenger side rear view mirror', 'halogen headlamps', 'rear seat belts', 'seat belt warning', 'door ajar warning', 'adjustable seats', 'keyless entry', 'centrally mounted fuel tank', 'engine immobilizer']",silver,2kd-ftv diesel engine,4.0,4.0,dohc,True,True,4585.0,1765.0,1760.0,2750.0,1510.0,1510.0,1700.0,2300.0,5 speed,fwd,7.0,power,5.4,ventilated disc,drum,168.56,13.2,tubeless radial,5.0,350.0,used,karnataka,silver,third,Common Rail Injection,,15.0,100.6,3600.0,200.0,2400.0,73.0,11,13636.351239680693,13.910821646859096,13.671514442523348,13.28942084232261,13.175242066000134,1239,256,3,150.38665886775684,149999.86363648763,0.0591764705882352,750182.3273633466,349817.6726366532,['high_price_high_km'],1
7115f6de-1aea-4cc7-95a4-4aceb74cfa55,,2008,muv,automatic,diesel,80000.0,0,[{'img': 'https://stimg2.cardekho.com/images/usedcarimages/large/2-2023/3615004/a83ef85a-ccbe-49a6-887c-ce3c47f30231.jpg'}],5,False,tata hexa xta,tata,tata hexa,xta,indore,1350000.0,0,individual,partner,"['power steering', 'power windows front', 'air conditioner', 'heater', 'adjustable head lights', 'fog lights front', 'anti lock braking system', 'brake assist', 'radio']","['power steering', 'power windows front', 'power windows rear', 'remote trunk opener', 'remote fuel lid opener', 'low fuel warning light', 'accessory power outlet', 'trunk light', 'rear reading lamp', 'rear seat headrest', 'rear seat centre arm rest', 'height adjustable front seat belts', 'cup holders front', 'cup holders rear', 'seat lumbar support', 'multifunction steering wheel', 'cruise control', 'rear acvents', 'navigation system', 'glove box cooling', 'voice control', 'gear shift indicator', 'lane change indicator']","['air conditioner', 'heater', 'adjustable steering', 'digital odometer', 'tachometer', 'electronic multi tripmeter', 'leather seats', 'leather steering wheel', 'glove compartment', 'digital clock', 'outside temperature display', 'height adjustable driver seat']","['adjustable head lights', 'fog lights front', 'fog lights rear', 'power adjustable exterior rear view mirror', 'electric folding rear view mirror', 'rain sensing wiper', 'rear window wiper', 'rear window washer', 'rear window defogger', 'alloy wheels', 'integrated antenna', 'rear spoiler', 'outside rear view mirror turn indicators', 'chrome grille', 'smoke headlamps', 'automatic driving lights', 'roof rail', 'halogen headlamps']","['anti lock braking system', 'brake assist', 'centeral locking', 'child safety locks', 'anti theft alarm', 'driver air bag', 'passenger air bag', 'side air bag front', 'passenger side rear view mirror', 'halogen headlamps', 'rear seat belts', 'seat belt warning', 'door ajar warning', 'side impact beams', 'front impact beams', 'vehicle stability control system', 'traction control', 'adjustable seats', 'centrally mounted fuel tank', 'engine immobilizer', 'engine check warning', 'tyre pressure monitor', 'crash sensor', 'automatic head lamps', 'ebd', 'follow me home headlamps', 'rear camera', 'anti theft device', 'hill assist', 'no of airbags', 'eletronic stability control']",silver,2.2 ltr. varicor 400,4.0,4.0,dohc,True,True,4788.0,1900.0,1785.0,2850.0,1485.0,1493.0,1066.0,1595.0,6 speed,awd,7.0,power,5.75,disc,disc,168.56,13.2,tubeless radial,5.0,128.0,used,madhya pradesh,silver,first,Common Rail Injection,,17.0,153.86,4000.0,400.0,2125.0,73.0,17,4705.879584776715,14.11561589115508,13.24502129648026,13.818788481200992,13.18243029408498,2026,111,520,225.16536204016444,79999.95294120416,0.1443339587242026,703552.8197694403,646447.1802305597,['high_price_old_car'],1
8440a3a0-524b-44e8-973f-fdaf11264dfb,pune city,2017,muv,manual,diesel,148954.0,0,[{'img': 'https://images10.gaadi.com/usedcar_image/original/spyne_vcc_car_replace_bg_c227a5ab-ee9d-4bb8-b029-3a75b3976308_1691986_116_1675926795.jpg?imwidth=640'}],15,False,toyota innova crysta 2.4 gx mt 8s bsiv,toyota,toyota innova crysta,2.4 gx mt 8s bsiv,pune,1400000.0,0,dealer,partner,"['power steering', 'power windows front', 'air conditioner', 'heater', 'adjustable head lights', 'power adjustable exterior rear view mirror', 'anti lock braking system', 'brake assist', 'cd player']","['power steering', 'power windows front', 'power windows rear', 'remote trunk opener', 'remote fuel lid opener', 'low fuel warning light', 'accessory power outlet', 'trunk light', 'vanity mirror', 'rear reading lamp', 'rear seat headrest', 'rear seat centre arm rest', 'height adjustable front seat belts', 'cup holders front', 'cup holders rear', 'multifunction steering wheel', 'rear acvents', 'glove box cooling']","['air conditioner', 'heater', 'adjustable steering', 'digital odometer', 'tachometer', 'electronic multi tripmeter', 'fabric upholstery', 'glove compartment', 'digital clock', 'outside temperature display', 'driving experience control eco', 'height adjustable driver seat']","['adjustable head lights', 'power adjustable exterior rear view mirror', 'electric folding rear view mirror', 'rear window wiper', 'rear window washer', 'rear window defogger', 'alloy wheels', 'integrated antenna', 'rear spoiler', 'outside rear view mirror turn indicators', 'halogen headlamps']","['anti lock braking system', 'brake assist', 'centeral locking', 'power door locks', 'child safety locks', 'driver air bag', 'passenger air bag', 'passenger side rear view mirror', 'halogen headlamps', 'rear seat belts', 'seat belt warning', 'door ajar warning', 'side impact beams', 'front impact beams', 'adjustable seats', 'centrally mounted fuel tank', 'engine immobilizer', 'engine check warning', 'crash sensor', 'ebd', 'anti theft device', 'speed sensing auto door lock', 'isofix child seat mounts', 'pretensioners and force limiter seatbelts', 'impact sensing auto door lock', 'no of airbags']",avant garde bronze,2-gd ftv engine,4.0,4.0,dohc,True,True,4735.0,1830.0,1795.0,2750.0,1540.0,1540.0,1820.0,2460.0,5 speed,rwd,8.0,power,5.4,disc,drum,168.56,13.2,tubeless radial,5.0,350.0,used,maharashtra,avant garde bronze,second,Direct Injection,,16.0,147.8,3400.0,343.0,2100.0,3.62,8,18619.2267259666,14.151983508870948,13.671514442523348,14.418070317319136,13.088104300808029,1239,256,4821,109.37211554018678,148953.81380773275,0.0812087912087912,1678798.1609684485,278798.1609684476,['high_price_high_km'],1
fc0b08d4-6c42-4dcd-a064-926d5b80a93f,gurgaon,2016,luxury vehicles,automatic,diesel,191782.87999999968,0,[{'img': 'https://images10.gaadi.com/usedcar_image/original/vcc_car_replace_bg_a9089845-9d39-4528-9172-e87f96033f8e_1636872_94_1667209269.jpg?imwidth=640'}],10,False,volvo xc 90 d5 momentum bsiv,volvo,volvo xc 90,d5 momentum bsiv,gurgaon,1500000.0,0,dealer,partner,"['power steering', 'power windows front', 'air conditioner', 'heater', 'adjustable head lights', 'fog lights front', 'anti lock braking system', 'brake assist', 'cd player']","['power steering', 'power windows front', 'power windows rear', 'air quality control', 'remote trunk opener', 'remote fuel lid opener', 'low fuel warning light', 'accessory power outlet', 'trunk light', 'vanity mirror', 'rear reading lamp', 'rear seat headrest', 'rear seat centre arm rest', 'height adjustable front seat belts', 'cup holders front', 'cup holders rear', 'seat lumbar support', 'multifunction steering wheel', 'cruise control', 'rear acvents', 'navigation system', 'smart access card entry', 'engine start stop button', 'glove box cooling', 'voice control', 'steering wheel gearshift paddles', 'tailgate ajar', 'luggage hook and net', 'lane change indicator', 'drive modes']","['air conditioner', 'heater', 'adjustable steering', 'digital odometer', 'tachometer', 'electronic multi tripmeter', 'leather seats', 'leather steering wheel', 'glove compartment', 'digital clock', 'outside temperature display', 'cigarette lighter', 'driving experience control eco', 'height adjustable driver seat', 'ventilated seats', 'dual tone dashboard']","['adjustable head lights', 'fog lights front', 'power adjustable exterior rear view mirror', 'electric folding rear view mirror', 'rain sensing wiper', 'rear window wiper', 'rear window defogger', 'alloy wheels', 'integrated antenna', 'tinted glass', 'rear spoiler', 'sun roof', 'moon roof', 'outside rear view mirror turn indicators', 'chrome grille', 'chrome garnish', 'smoke headlamps', 'automatic driving lights', 'roof rail', 'halogen headlamps']","['anti lock braking system', 'brake assist', 'centeral locking', 'power door locks', 'child safety locks', 'anti theft alarm', 'driver air bag', 'passenger air bag', 'side air bag front', 'side air bag rear', 'day night rear view mirror', 'passenger side rear view mirror', 'halogen headlamps', 'rear seat belts', 'seat belt warning', 'door ajar warning', 'side impact beams', 'front impact beams', 'vehicle stability control system', 'traction control', 'adjustable seats', 'keyless entry', 'centrally mounted fuel tank', 'engine immobilizer', 'engine check warning', 'tyre pressure monitor', 'crash sensor', 'automatic head lamps', 'ebd', 'rear camera', 'anti theft device', 'anti pinch power windows', 'knee airbags', 'isofix child seat mounts', 'pretensioners and force limiter seatbelts', 'hill descent control', 'hill assist', 'no of airbags']",luminous sand metallic,twin turbo diesel engine,4.0,4.0,dohc,True,True,4950.0,2140.0,1776.0,2984.0,1668.0,1671.0,1066.0,1595.0,8 speed,awd,7.0,power,6.1,disc,disc,230.0,10.9,tubeless,5.0,300.0,used,haryana,luminous sand metallic,first,Direct Injection,,19.0,235.0,4250.0,480.0,1750.0,81.0,9,21309.1852120164,14.220976332738882,14.470876806401554,14.713210687702588,13.062889311872794,133,14,3235,130.237891257614,191782.6669081476,0.2204502814258911,1956061.303733953,456061.3037339544,['high_price_high_km'],1
79e253b3-c3e0-49cf-915f-360686f8f303,mundhwa,2016,pickup trucks,manual,diesel,105000.0,0,[{'img': 'https://images10.gaadi.com/usedcar_image/original/zz1_crop_img_6409655f2f135_1678337375.jpg?imwidth=640'}],19,False,isuzu d-max 4x4,isuzu,isuzu d-max,4x4,pune,1550000.0,0,dealer,partner,"['power steering', 'power windows front', 'air conditioner', 'heater', 'adjustable head lights', 'fog lights front', 'anti lock braking system', 'brake assist', 'cd player']","['power steering', 'power windows front', 'power windows rear', 'air quality control', 'low fuel warning light', 'accessory power outlet', 'vanity mirror', 'rear seat headrest', 'cup holders front', 'multifunction steering wheel']","['air conditioner', 'heater', 'adjustable steering', 'digital odometer', 'tachometer', 'electronic multi tripmeter', 'fabric upholstery', 'glove compartment', 'digital clock', 'height adjustable driver seat']","['adjustable head lights', 'fog lights front', 'power adjustable exterior rear view mirror', 'electric folding rear view mirror', 'rear window defogger', 'alloy wheels', 'power antenna', 'side stepper', 'chrome grille', 'roof rail']","['anti lock braking system', 'brake assist', 'centeral locking', 'child safety locks', 'driver air bag', 'passenger air bag', 'day night rear view mirror', 'passenger side rear view mirror', 'xenon headlamps', 'rear seat belts', 'side impact beams', 'front impact beams', 'adjustable seats', 'centrally mounted fuel tank', 'engine immobilizer', 'crash sensor', 'ebd', 'anti theft device']",silver,vgs turbo diesel engine,4.0,4.0,dohc,True,True,5295.0,1860.0,1840.0,3095.0,1485.0,1493.0,1905.0,1595.0,5 speed,4wd,5.0,power,5.1,ventilated disc,drum,168.56,13.2,tubeless radial,4.0,350.0,used,maharashtra,silver,first,Common Rail Injection,,16.0,134.0,3600.0,320.0,2300.0,73.0,9,11666.653703718108,14.253766134056512,13.935679438884335,13.883893253231689,13.088104300808029,31,19,4821,125.42111494995902,104999.88333346296,0.0703412073490813,1238805.466998676,311194.5330013251,['high_price_high_km'],1
cf6b57d9-2039-4853-8a6b-0106ea210ac3,vijay nagar,2017,pickup trucks,manual,diesel,127000.0,0,[{'img': 'http://dealeradmin.gaadi.com/user/server/php/files72/img2717750/z_blur_img_640ec501df7ff_1678689537.jpg?imwidth=640'}],17,False,isuzu d-max 4x4,isuzu,isuzu d-max,4x4,indore,1550000.0,0,dealer,partner,"['power steering', 'power windows front', 'air conditioner', 'heater', 'adjustable head lights', 'fog lights front', 'anti lock braking system', 'brake assist', 'cd player']","['power steering', 'power windows front', 'power windows rear', 'air quality control', 'low fuel warning light', 'accessory power outlet', 'vanity mirror', 'rear seat headrest', 'cup holders front', 'multifunction steering wheel']","['air conditioner', 'heater', 'adjustable steering', 'digital odometer', 'tachometer', 'electronic multi tripmeter', 'fabric upholstery', 'glove compartment', 'digital clock', 'height adjustable driver seat']","['adjustable head lights', 'fog lights front', 'power adjustable exterior rear view mirror', 'electric folding rear view mirror', 'rear window defogger', 'alloy wheels', 'power antenna', 'side stepper', 'chrome grille', 'roof rail']","['anti lock braking system', 'brake assist', 'centeral locking', 'child safety locks', 'driver air bag', 'passenger air bag', 'day night rear view mirror', 'passenger side rear view mirror', 'xenon headlamps', 'rear seat belts', 'side impact beams', 'front impact beams', 'adjustable seats', 'centrally mounted fuel tank', 'engine immobilizer', 'crash sensor', 'ebd', 'anti theft device']",grey,vgs turbo diesel engine,4.0,4.0,dohc,True,True,5295.0,1860.0,1840.0,3095.0,1485.0,1493.0,1905.0,1595.0,5 speed,4wd,5.0,power,5.1,ventilated disc,drum,168.56,13.2,tubeless radial,4.0,350.0,used,madhya pradesh,grey,first,Common Rail Injection,,16.0,134.0,3600.0,320.0,2300.0,73.0,8,15874.980156274803,14.253766134056512,13.935679438884335,13.883893253231689,13.18243029408498,31,19,520,111.48543551107468,126999.84125019844,0.0703412073490813,1201368.6732683147,348631.3267316865,['high_price_high_km'],1
4c01aa1a-86fd-485b-a9ef-d8a91a132796,jungpura,2008,coupe,automatic,petrol,38000.0,0,[{'img': 'https://images10.gaadi.com/usedcar_image/original/usedcar_50081497_292b_4dad_9bfe_39c37d7f3aec_2695794_1676796479.jpeg?imwidth=640'}],8,False,bmw 6 series 650i coupe,bmw,bmw 6 series,650i coupe,new delhi,1495000.0,0,dealer,partner,"['power steering', 'power windows front', 'air conditioner', 'heater', 'adjustable head lights', 'fog lights front', 'anti lock braking system', 'centeral locking', 'dvd player']","['power steering', 'power windows front', 'air quality control', 'remote trunk opener', 'remote fuel lid opener', 'low fuel warning light', 'accessory power outlet', 'trunk light', 'vanity mirror', 'rear reading lamp', 'rear seat headrest', 'rear seat centre arm rest', 'height adjustable front seat belts', 'cup holders front', 'cup holders rear', 'seat lumbar support', 'multifunction steering wheel', 'cruise control', 'rear acvents', 'navigation system', 'smart access card entry', 'engine start stop button', 'glove box cooling']","['air conditioner', 'heater', 'adjustable steering', 'digital odometer', 'tachometer', 'electronic multi tripmeter', 'leather seats', 'leather steering wheel', 'glove compartment', 'digital clock', 'outside temperature display', 'cigarette lighter']","['adjustable head lights', 'fog lights front', 'power adjustable exterior rear view mirror', 'electric folding rear view mirror', 'rain sensing wiper', 'rear window defogger', 'alloy wheels', 'power antenna', 'tinted glass', 'sun roof', 'outside rear view mirror turn indicators']","['anti lock braking system', 'centeral locking', 'power door locks', 'anti theft alarm', 'driver air bag', 'passenger air bag', 'side air bag front', 'day night rear view mirror', 'passenger side rear view mirror', 'xenon headlamps', 'rear seat belts', 'seat belt warning', 'door ajar warning', 'side impact beams', 'vehicle stability control system', 'traction control', 'adjustable seats', 'keyless entry', 'centrally mounted fuel tank', 'engine immobilizer', 'crash sensor', 'automatic head lamps']",blue,petrol engine,8.0,4.0,,False,False,4894.0,1894.0,1369.0,2855.0,1600.0,1665.0,1066.0,1595.0,8 speed,fwd,4.0,power,5.1,ventilated disc,ventilated disc,250.0,4.6,tubeless radial,2.0,450.0,used,delhi,blue,third,Direct Injection,10.0,19.0,450.0,5500.0,600.0,3250.0,89.0,17,2235.2928027689395,14.217637433703022,14.518165679909496,14.788712618408914,13.327129113968487,775,15,4969,246.80881655846144,37999.97764707197,0.4221388367729831,2463093.061702589,968093.0617025886,['high_price_old_car'],1
91ac8ccd-d35d-4c64-8920-a33d082034be,indiranagar,2018,suv,automatic,diesel,101800.0,1,[{'img': 'https://images10.gaadi.com/usedcar_image/original/used_car_2716778_1678091428.jpg?imwidth=640'}],20,False,toyota fortuner 2.8 4wd at,toyota,toyota fortuner,2.8 4wd at,bangalore,3375000.0,0,dealer,partner,"['power steering', 'power windows front', 'air conditioner', 'heater', 'adjustable head lights', 'fog lights front', 'anti lock braking system', 'brake assist', 'dvd player']","['power steering', 'power windows front', 'power windows rear', 'remote trunk opener', 'low fuel warning light', 'accessory power outlet', 'trunk light', 'vanity mirror', 'rear reading lamp', 'rear seat headrest', 'rear seat centre arm rest', 'height adjustable front seat belts', 'cup holders front', 'cup holders rear', 'seat lumbar support', 'multifunction steering wheel', 'cruise control', 'rear acvents', 'navigation system', 'smart access card entry', 'engine start stop button', 'glove box cooling', 'voice control', 'steering wheel gearshift paddles', 'tailgate ajar', 'luggage hook and net', 'lane change indicator', 'drive modes', 'adjustable headrest', 'power boot', 'hands free tailgate']","['air conditioner', 'heater', 'adjustable steering', 'digital odometer', 'tachometer', 'electronic multi tripmeter', 'leather seats', 'leather steering wheel', 'glove compartment', 'digital clock', 'driving experience control eco', 'height adjustable driver seat']","['adjustable head lights', 'fog lights front', 'fog lights rear', 'power adjustable exterior rear view mirror', 'rear window wiper', 'rear window defogger', 'alloy wheels', 'integrated antenna', 'rear spoiler', 'side stepper', 'outside rear view mirror turn indicators', 'chrome grille', 'chrome garnish', 'roof rail', 'leddrls', 'ledheadlights', 'ledtaillights', 'ledfog lamps', 'projector headlamps']","['anti lock braking system', 'brake assist', 'centeral locking', 'power door locks', 'child safety locks', 'anti theft alarm', 'driver air bag', 'passenger air bag', 'side air bag front', 'day night rear view mirror', 'passenger side rear view mirror', 'rear seat belts', 'seat belt warning', 'door ajar warning', 'side impact beams', 'front impact beams', 'vehicle stability control system', 'traction control', 'adjustable seats', 'keyless entry', 'centrally mounted fuel tank', 'engine immobilizer', 'engine check warning', 'crash sensor', 'ebd', 'rear camera', 'anti theft device', 'speed sensing auto door lock', 'knee airbags', 'isofix child seat mounts', 'pretensioners and force limiter seatbelts', 'blind spot monitor', 'hill descent control', 'hill assist', 'no of airbags']",bronze,1-gd ftv engine,4.0,4.0,dohc,True,True,4795.0,1855.0,1835.0,2745.0,1485.0,1493.0,1066.0,2735.0,6 speed,4wd,7.0,power,5.8,ventilated disc,ventilated disc,157.3,12.14,tubeless radial,5.0,350.0,used,karnataka,bronze,first,Direct Injection,,18.0,174.5,3400.0,450.0,2000.0,73.0,7,14542.836367376618,15.03190617858502,13.671514442523348,14.322027366319707,13.375784367637182,1239,221,4881,95.70060109766344,101799.85457163632,0.1636960600375234,3098454.5712291645,276545.42877083644,['high_price_high_km'],1
6e41a514-8dcd-4991-a21d-0a42b19cce54,,2015,suv,manual,diesel,180000.0,0,[{'img': 'https://stimg2.cardekho.com/images/usedcarimages/large/3-2023/3644349/16784447303644133250320579964424.jpg'}],5,False,toyota fortuner 4x4 mt,toyota,toyota fortuner,4x4 mt,jaipur,1400000.0,0,individual,partner,"['power steering', 'power windows front', 'air conditioner', 'heater', 'adjustable head lights', 'fog lights front', 'anti lock braking system', 'brake assist', 'cd player']","['power steering', 'power windows front', 'power windows rear', 'air quality control', 'remote trunk opener', 'remote fuel lid opener', 'low fuel warning light', 'accessory power outlet', 'trunk light', 'vanity mirror', 'rear seat headrest', 'rear seat centre arm rest', 'cup holders front', 'cup holders rear', 'seat lumbar support', 'multifunction steering wheel', 'rear acvents', 'navigation system', 'voice control']","['air conditioner', 'heater', 'adjustable steering', 'digital odometer', 'tachometer', 'electronic multi tripmeter', 'leather seats', 'leather steering wheel', 'glove compartment', 'digital clock', 'height adjustable driver seat']","['adjustable head lights', 'fog lights front', 'power adjustable exterior rear view mirror', 'electric folding rear view mirror', 'rear window wiper', 'rear window defogger', 'alloy wheels', 'integrated antenna', 'side stepper', 'outside rear view mirror turn indicators', 'smoke headlamps', 'roof rail']","['anti lock braking system', 'brake assist', 'centeral locking', 'power door locks', 'child safety locks', 'anti theft alarm', 'driver air bag', 'passenger air bag', 'day night rear view mirror', 'passenger side rear view mirror', 'halogen headlamps', 'rear seat belts', 'seat belt warning', 'door ajar warning', 'side impact beams', 'front impact beams', 'vehicle stability control system', 'adjustable seats', 'keyless entry', 'centrally mounted fuel tank', 'engine immobilizer', 'crash sensor', 'automatic head lamps', 'ebd', 'rear camera', 'anti theft device']",white,d-4d diesel engine,4.0,4.0,dohc,True,True,4705.0,1840.0,1850.0,2750.0,1540.0,1540.0,1970.0,2510.0,5 speed,4wd,7.0,power,5.9,ventilated disc,drum,176.0,9.6,tubeless radial,5.0,296.0,used,rajasthan,white,first,Common Rail Injection,,17.0,168.5,3600.0,343.0,2400.0,73.0,10,17999.982000018,14.151983508870948,13.671514442523348,14.322027366319707,13.060041408868043,1239,221,937,136.7151444252335,179999.82000018,0.0855329949238578,1757643.1203900394,357643.1203900387,['high_price_high_km'],1
19be47cb-ee98-4488-9006-26e4a9b22548,,2018,suv,manual,diesel,120000.0,0,[{'img': 'https://stimg2.cardekho.com/images/usedcarimages/large/3-2023/3640850/6a0ab136-2300-4059-b860-7713aa9c0a00.jpg'}],15,False,toyota fortuner 2.8 2wd mt bsiv,toyota,toyota fortuner,2.8 2wd mt bsiv,new delhi,2900000.0,0,individual,partner,"['power steering', 'power windows front', 'air conditioner', 'heater', 'adjustable head lights', 'fog lights front', 'anti lock braking system', 'brake assist', 'cd player']","['power steering', 'power windows front', 'power windows rear', 'air quality control', 'remote trunk opener', 'remote fuel lid opener', 'low fuel warning light', 'accessory power outlet', 'trunk light', 'vanity mirror', 'rear reading lamp', 'rear seat headrest', 'rear seat centre arm rest', 'cup holders front', 'cup holders rear', 'seat lumbar support', 'multifunction steering wheel', 'rear acvents', 'navigation system', 'smart access card entry', 'engine start stop button', 'glove box cooling', 'voice control', 'steering wheel gearshift paddles', 'tailgate ajar', 'gear shift indicator', 'lane change indicator', 'drive modes']","['air conditioner', 'heater', 'adjustable steering', 'digital odometer', 'tachometer', 'electronic multi tripmeter', 'leather seats', 'leather steering wheel', 'glove compartment', 'digital clock', 'driving experience control eco', 'height adjustable driver seat']","['adjustable head lights', 'fog lights front', 'power adjustable exterior rear view mirror', 'electric folding rear view mirror', 'rear window wiper', 'rear window defogger', 'alloy wheels', 'integrated antenna', 'rear spoiler', 'side stepper', 'outside rear view mirror turn indicators', 'chrome grille', 'chrome garnish', 'roof rail', 'halogen headlamps']","['anti lock braking system', 'brake assist', 'centeral locking', 'power door locks', 'child safety locks', 'driver air bag', 'passenger air bag', 'side air bag front', 'day night rear view mirror', 'passenger side rear view mirror', 'halogen headlamps', 'rear seat belts', 'seat belt warning', 'door ajar warning', 'side impact beams', 'front impact beams', 'vehicle stability control system', 'traction control', 'adjustable seats', 'keyless entry', 'centrally mounted fuel tank', 'engine immobilizer', 'engine check warning', 'crash sensor', 'ebd', 'rear camera', 'anti theft device', 'speed sensing auto door lock', 'knee airbags', 'isofix child seat mounts', 'pretensioners and force limiter seatbelts', 'blind spot monitor', 'hill descent control', 'hill assist', 'no of airbags']",white,1-gd ftv engine,4.0,4.0,dohc,True,True,4795.0,1855.0,1835.0,2745.0,1485.0,1493.0,1066.0,2610.0,6 speed,rwd,7.0,power,5.8,ventilated disc,ventilated disc,168.56,13.2,tubeless radial,5.0,350.0,used,delhi,white,first,Direct Injection,,17.0,174.5,3400.0,420.0,2000.0,73.0,7,17142.83265309621,14.88022163978423,13.671514442523348,14.322027366319707,13.327129113968487,1239,221,4969,95.70060109766344,119999.82857167348,0.1636960600375234,2482512.1970844176,417487.80291558383,['high_price_high_km'],1
